,measure_id,measure_name,location_id,location_name.x,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,val_pop,upper_pop,lower_pop,age_standard_pop_proportion,age_standard_pop_ratio,location_name,age_median
46,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,337,Encephalitis,1,Number,2021,189811.39017711,224035.838307086,162510.889017324,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59,Global,27
47,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,337,Encephalitis,1,Number,2021,203974.561654352,237157.685346399,172629.000837271,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32,Global,32
48,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,337,Encephalitis,1,Number,2021,178429.696050552,211481.073058335,151023.170489436,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83,Global,37
49,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,337,Encephalitis,1,Number,2021,188785.208125465,232363.929798149,158832.760063791,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15,Global,42
50,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,337,Encephalitis,1,Number,2021,156204.836577678,188805.459651764,134047.228809716,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51,Global,47
51,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,337,Encephalitis,1,Number,2021,142489.683706731,180258.689009568,121379.068845416,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91,Global,52
52,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,337,Encephalitis,1,Number,2021,161120.955602699,198417.168139355,136751.131756777,395728004,407669300.348216,384764582.368839,4.34586,4.35,Global,57
53,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,337,Encephalitis,1,Number,2021,161824.852155694,196130.264611904,138935.021041094,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68,Global,62
54,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,337,Encephalitis,1,Number,2021,154549.97611154,188755.850279195,132792.437458479,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99,Global,67
55,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,337,Encephalitis,1,Number,2021,160036.641041735,190850.908229984,136760.903341171,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27,Global,72
56,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,337,Encephalitis,1,Number,2021,119103.067536879,142276.434139766,98035.0887999208,131884404.580217,135613447.4,128518633.372437,1.59758,1.6,Global,77
57,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,30,80-84 years,337,Encephalitis,1,Number,2021,80473.552711447,99095.5719218312,65094.2308694717,87583056.918491,89948887.7796038,85481848.25,1.09729,1.1,Global,82
58,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,31,85-89 years,337,Encephalitis,1,Number,2021,40183.5052053049,48619.2875835992,31425.1662594033,45721791.0517717,46852862.726504,44709230.7009568,0.604519,0.6,Global,87
59,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,32,90-94 years,337,Encephalitis,1,Number,2021,14501.2479940835,17565.5268268276,11531.5261436246,17889373.591415,18289317.0157285,17518670.986049,0.246663,0.25,Global,92
60,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,235,95+ years,337,Encephalitis,1,Number,2021,5132.7963238959,6206.01727418239,3769.45553973935,5450308.67493343,5569992.58267677,5337366.13587716,0.0785092,0.08,Global,97
61,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,342,Varicella and herpes zoster,1,Number,2021,22820.5330286284,31260.5773509321,16808.7638298305,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59,Global,27
62,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,342,Varicella and herpes zoster,1,Number,2021,27088.1821251131,36157.9849110573,20885.4623353264,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32,Global,32
63,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,342,Varicella and herpes zoster,1,Number,2021,24542.5709957935,33605.0970662585,18109.9475544415,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83,Global,37
64,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,342,Varicella and herpes zoster,1,Number,2021,19727.6897938511,29501.7499496404,12981.03976,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15,Global,42
65,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,342,Varicella and herpes zoster,1,Number,2021,20985.4360155005,31391.4001251915,13572.7845762065,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51,Global,47
66,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,342,Varicella and herpes zoster,1,Number,2021,24471.89217,35216.6588619085,15940.163363701,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91,Global,52
67,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,342,Varicella and herpes zoster,1,Number,2021,26482.6879680283,38706.4534983923,16516.5668831109,395728004,407669300.348216,384764582.368839,4.34586,4.35,Global,57
68,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,342,Varicella and herpes zoster,1,Number,2021,26080.3369570697,38864.413145132,15574.7737721516,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68,Global,62
69,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,342,Varicella and herpes zoster,1,Number,2021,30420.4273507147,42622.8073046207,20619.8078479204,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99,Global,67
70,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,342,Varicella and herpes zoster,1,Number,2021,26125.979817376,35763.3358383923,18882.6206978101,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27,Global,72
71,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,342,Varicella and herpes zoster,1,Number,2021,24572.1236368636,32600.7391285297,18788.0920843622,131884404.580217,135613447.4,128518633.372437,1.59758,1.6,Global,77
72,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,30,80-84 years,342,Varicella and herpes zoster,1,Number,2021,24200.0514015846,30960.7306391338,19307.3664575066,87583056.918491,89948887.7796038,85481848.25,1.09729,1.1,Global,82
73,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,31,85-89 years,342,Varicella and herpes zoster,1,Number,2021,20268.8404330207,24493.1087017523,16844.3582256119,45721791.0517717,46852862.726504,44709230.7009568,0.604519,0.6,Global,87
74,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,32,90-94 years,342,Varicella and herpes zoster,1,Number,2021,11594.4252018879,13707.8076789505,9642.45185724182,17889373.591415,18289317.0157285,17518670.986049,0.246663,0.25,Global,92
75,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,235,95+ years,342,Varicella and herpes zoster,1,Number,2021,6251.39686610509,7391.453339,4784.71058508618,5450308.67493343,5569992.58267677,5337366.13587716,0.0785092,0.08,Global,97
76,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,435,Uterine cancer,1,Number,2021,17585.1082420245,20981.8967521344,13621.5560177296,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59,Global,27
